target,dimension,degree,terms,test_points,saqnn_l2,saqnn_l2_ci95,fourier_l2,target_min,target_max
smooth_1d,1,1,3,4096,0.12941308580645675,0.002151067514616699,0.12941308580645675,0.208268226589724,0.8999999888639435
smooth_1d,1,2,5,4096,0.08650177900398225,0.0015045256816712737,0.08650177900398225,0.208268226589724,0.8999999888639435
smooth_1d,1,4,9,4096,0.05189906602334951,0.0009074247696258209,0.05189906602334951,0.208268226589724,0.8999999888639435
smooth_1d,1,8,17,4096,0.028832809163368202,0.0005041307312104287,0.028832809163368202,0.208268226589724,0.8999999888639435
smooth_1d,1,16,33,4096,0.015264428380794021,0.0002668927400628054,0.015264428380794021,0.208268226589724,0.8999999888639435
smooth_1d,1,32,65,4096,0.007863493408287832,0.00013749019942629396,0.007863493408287832,0.208268226589724,0.8999999888639435
jump_1d,1,1,3,4096,0.18715559898197037,0.0018600281069534996,0.18715559898197037,0.2,0.8
jump_1d,1,2,5,4096,0.1576963180643182,0.0024266677541677465,0.1576963180643182,0.2,0.8
jump_1d,1,4,9,4096,0.1205041373493488,0.0027690193594024502,0.1205041373493488,0.2,0.8
jump_1d,1,8,17,4096,0.08882900719377518,0.0029665265181046587,0.08882900719377518,0.2,0.8
jump_1d,1,16,33,4096,0.06331850156642149,0.003077175479080874,0.06331850156642149,0.2,0.8
jump_1d,1,32,65,4096,0.044232457618101496,0.0032155712556936637,0.044232457618101496,0.2,0.8
smooth_2d,2,1,9,4096,0.13490175201895913,0.0013648438147869256,0.13490175201895913,0.11449994481368655,0.8855598293298514
smooth_2d,2,2,25,4096,0.09255772319053314,0.0009181300406841032,0.09255772319053314,0.11449994481368655,0.8855598293298514
smooth_2d,2,3,49,4096,0.07048789317796911,0.0006937661235545467,0.07048789317796911,0.11449994481368655,0.8855598293298514
smooth_2d,2,5,121,4096,0.04773929056821213,0.0004679110460556591,0.04773929056821213,0.11449994481368655,0.8855598293298514
smooth_2d,2,8,289,4096,0.03217299557841805,0.00031573005331812527,0.03217299557841805,0.11449994481368655,0.8855598293298514
checker_2d,2,1,9,4096,0.2961298968376554,0.001249983716223178,0.2961298968376554,0.15,0.85
checker_2d,2,2,25,4096,0.2599080971348792,0.0020913515822185338,0.2599080971348792,0.15,0.85
checker_2d,2,3,49,4096,0.22816577353653908,0.0024870243372695075,0.22816577353653908,0.15,0.85
checker_2d,2,5,121,4096,0.19129956114859692,0.002960214216585252,0.19129956114859692,0.15,0.85
checker_2d,2,8,289,4096,0.15970321558632863,0.0033137391413338322,0.15970321558632863,0.15,0.85
smooth_3d,3,1,27,4096,0.06927184898900941,0.0020876156063093505,0.06927184898900941,0.20844028262466727,0.8904444920999461
smooth_3d,3,2,125,4096,0.046798343300682756,0.0014888179461430356,0.046798343300682756,0.20844028262466727,0.8904444920999461
smooth_3d,3,3,343,4096,0.03534671475643439,0.0011536638153925383,0.03534671475643439,0.20844028262466727,0.8904444920999461
smooth_3d,3,4,729,4096,0.0284009575241134,0.0009410201028559852,0.0284009575241134,0.20844028262466727,0.8904444920999461
smooth_4d,4,1,81,4096,0.05995876446375848,0.0019039536852650683,0.05995876446375848,0.21210558278329428,0.8867564637388055
smooth_4d,4,2,625,4096,0.040503345144752755,0.0013656200363463013,0.040503345144752755,0.21210558278329428,0.8867564637388055
smooth_4d,4,3,2401,4096,0.030590988372676462,0.0010618923032304217,0.030590988372676462,0.21210558278329428,0.8867564637388055
